ID,Date Time,Parent,Type,Object,Status,Message,Message(RAW)
7940,03-06-2024 04:35:05,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Up,"<div class=""logmessage"">2.09 Mbit/s<div class=""moreicon""></div></div>",2.09 Mbit/s
12349,03-06-2024 04:35:01,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Unknown,"<div class=""logmessage"">No data since 03-06-2024 04:32:30<div class=""moreicon""></div></div>",No data since 03-06-2024 04:32:30
7940,03-06-2024 04:34:15,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Warning,"<div class=""logmessage"">1.94 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.94 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
7940,03-06-2024 04:34:05,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Up,"<div class=""logmessage"">2.09 Mbit/s<div class=""moreicon""></div></div>",2.09 Mbit/s
12355,03-06-2024 04:34:01,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Unknown,"<div class=""logmessage"">No data since 03-06-2024 04:31:12<div class=""moreicon""></div></div>",No data since 03-06-2024 04:31:12
7940,03-06-2024 04:33:55,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Warning,"<div class=""logmessage"">1.83 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.83 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
9597,03-06-2024 04:33:46,{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10108,03-06-2024 04:33:26,{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],SNMP Traffic 64bit,TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16],Down,"<div class=""logmessage"">0.99 Mbit/s (Traffic Total) is below the error limit of 1 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",0.99 Mbit/s (Traffic Total) is below the error limit of 1 Mbit/s in Traffic Total
10109,03-06-2024 04:33:11,{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],SNMP Traffic 64bit,Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?,Warning,"<div class=""logmessage"">1.81 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.81 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
5319,03-06-2024 04:33:07,{iil-sw-jp-172-60-60-231} (172.60.60.231) [ CISCO-WS-C2960S-48TD-L ] @Rack_XX,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10158,03-06-2024 04:33:06,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],SNMP Traffic 64bit,Eth26(100)__vNIC08-16.vc12.c01__10.112.72.16,Up,"<div class=""logmessage"">7.03 Mbit/s<div class=""moreicon""></div></div>",7.03 Mbit/s
7940,03-06-2024 04:33:05,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Up,"<div class=""logmessage"">2.16 Mbit/s<div class=""moreicon""></div></div>",2.16 Mbit/s
4474,03-06-2024 04:33:04,{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105],SNMP Traffic 64bit,(003) sfp3 Traffic,Up,"<div class=""logmessage"">0.06 Mbit/s<div class=""moreicon""></div></div>",0.06 Mbit/s
10359,03-06-2024 04:32:58,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
9597,03-06-2024 04:32:46,{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
4478,03-06-2024 04:32:43,{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105],SNMP Traffic 64bit,Ether5-60.231-P41_FW Traffic,Up,"<div class=""logmessage"">2.64 Mbit/s<div class=""moreicon""></div></div>",2.64 Mbit/s
12349,03-06-2024 04:32:30,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
10108,03-06-2024 04:32:26,{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],SNMP Traffic 64bit,TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16],Warning,"<div class=""logmessage"">1.01 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.01 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
8016,03-06-2024 04:32:20,{asr-wr-jp-172-60-60-223} (172.60.60.223) [ASR1002-X Chassis] @Rack_05 [CDC-105],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0.03 #/s<div class=""moreicon""></div></div>",0.03 #/s
